Country,Continent,Insta,Wiki,Description,ExtraSite,LinkToExtra
Rozepia,Kanita,,,,Tumblr,https://rozepia.tumblr.com/
Suvicia,Sivalat,"https://www.instagram.com/suvicia.ulina/
",,,,
Etola,Ailou,,,,Carrd,https://etolaofficial.carrd.co/
Es'qualla,Kanita,https://www.instagram.com/nation_of_esqualla/,,,,
Castania (Vau'sena),Ripiero,https://www.instagram.com/castania.vs/,https://ulina.fandom.com/wiki/Casta%C3%B1a,,,
Cosona (Vau'sena),Ripiero,,https://ulina.fandom.com/wiki/Cosona,"Cosona, officially The Federal Kingdom of Cosona (Cosonaan: Led Coronaie Confeder'enn au Cosona), is a member state of Vau'sena in Southern Ripiero. It consists of 11 Provies, and borders the Confederaats of Katastrofia to the West, the Catican to the Northwest, and Pikanistan to the North, sharing a maritime border with the Confederaat of Oreiní Énosi to the South.",,
Hunsvani,Sivalat,https://www.instagram.com/hunsvani/,,,,
Nillas,Kanita,https://www.instagram.com/kingdomofnillas/,,,,
Korlan,Ailou,https://www.instagram.com/republic_of_korlan/,https://ulina.fandom.com/wiki/Korlan,"The People’s Republic of Korlan is a communist nation in northern Ailou, boasting a population of 22.4 million and consisting of numerous ethnic groups. Korlan’s capital is Akalotu, a city in Asini.",Site,https://sites.google.com/view/republic-of-korlan/home
Chormenia,Ailou,https://www.instagram.com/the_dpr_chormenia_ulina/,,Chormenia is a socialist peoples republic with a one party system. It is populated by humans and the capital city is called Sakarjinov. The anthem of Chormenia is called ‘Utopia’ and the national currency is called the ‘Chormenian Taara’ The population is about: 15.000.000 people and the nations industry is mostly based on agriculture and manufacturing Nada cars. Chormenia will focus on improving the lifes of its citizens.,,
Galindia,Ailou,,https://ulina.fandom.com/wiki/Galindia,"Galindia, officially known as the Galindian Judicate, is a nation in central Ailou known for its rich martial history and unique government. Galindia has a population of some 19.6 million people, largely ethnically homogenous. The capital is located in the central northern city of þærastaðar.",Twitter,https://twitter.com/GalindiaNation
Gerzonia,Sivalat,https://www.instagram.com/gerzonia.ulina/,https://ulina.fandom.com/wiki/Gerzonia," A Republic founded around electronics production and the sale of Purple Glass, a powerful energy source.",Tapas,https://m.tapas.io/series/Gerzon/info
Nordgis,Kanita,https://www.instagram.com/nordgis/,https://ulina.fandom.com/wiki/Nordgis,,,
Itagana,Ailou,https://www.instagram.com/itagana.empire/,,,,
